country_iso3,year,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct
AZE,2016,Azerbaijan,19822.4,,5.0
AZE,2017,Azerbaijan,19659.0,,5.0
AZE,2018,Azerbaijan,19781.9,,4.9
AZE,2019,Azerbaijan,20101.5,,5.0
AZE,2020,Azerbaijan,19126.1,,7.2
AZE,2021,Azerbaijan,20111.4,,6.0
AZE,2022,Azerbaijan,21051.2,,5.6
AZE,2023,Azerbaijan,21310.7,,5.6
BDI,2015,Burundi,995.3,,1.4
BDI,2016,Burundi,1009.6,,1.4
BDI,2017,Burundi,1024.0,,1.2
BDI,2018,Burundi,1046.6,,1.1
BDI,2019,Burundi,1058.0,,1.0
BDI,2020,Burundi,1030.8,37.5,1.0
BDI,2021,Burundi,1035.5,,1.1
BDI,2022,Burundi,1031.3,,0.9
BDI,2023,Burundi,1036.2,,0.9
BEL,2015,Belgium,57509.0,27.7,8.5
BEL,2016,Belgium,57901.5,27.6,7.8
BEL,2017,Belgium,58529.3,27.4,7.1
BEL,2018,Belgium,59357.7,27.2,5.9
BEL,2019,Belgium,60480.0,27.2,5.4
BEL,2020,Belgium,57333.5,26.0,5.5
BEL,2021,Belgium,60669.2,26.6,6.2
BEL,2022,Belgium,62561.8,26.4,5.6
BEL,2023,Belgium,63095.4,26.8,5.5
BEN,2015,Benin,2952.0,47.6,1.9
BEN,2016,Benin,2962.7,,1.8
BEN,2017,Benin,3041.8,,1.7
BEN,2018,Benin,3155.5,37.9,1.4
BEN,2019,Benin,3281.1,,1.2
BEN,2020,Benin,3317.9,,1.5
BEN,2021,Benin,3464.3,34.4,1.8
BEN,2022,Benin,3588.3,,1.7
BEN,2023,Benin,3721.2,,1.6
BFA,2015,Burkina Faso,2101.7,,4.5
BFA,2016,Burkina Faso,2162.7,,4.6
BFA,2017,Burkina Faso,2232.3,,4.7
BFA,2018,Burkina Faso,2316.4,43.0,4.7
BFA,2019,Burkina Faso,2391.5,,4.5
BFA,2020,Burkina Faso,2380.9,,4.6
BFA,2021,Burkina Faso,2486.4,37.4,4.5
BFA,2022,Burkina Faso,2469.2,,3.8
BFA,2023,Burkina Faso,2486.2,,3.6
BGD,2015,Bangladesh,5352.7,,4.4
BGD,2016,Bangladesh,5682.5,32.4,4.4
