country_name_whr,year,happiness_score,country_iso3,social_spending_pct_gdp,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct,civic_engagement_score,health_score,housing_score,job_security_score,safety_score,work_life_balance_score
Czechia,2018,6.9,CZE,0.3,Czechia,46301.1,25.0,2.2,1.6,79.3,23.4,2.3,77.0,4.5
Czechia,2019,6.9,CZE,0.3,Czechia,47763.6,25.3,2.0,1.6,79.3,23.4,2.3,77.0,4.5
Czechia,2020,7.0,CZE,0.3,Czechia,45119.9,26.2,2.6,1.6,79.3,23.4,2.3,77.0,4.5
Czechia,2021,6.9,CZE,0.4,Czechia,47796.0,26.2,2.8,1.6,79.3,23.4,2.3,77.0,4.5
Denmark,2015,7.5,DNK,2.0,Denmark,62405.7,28.2,6.3,2.0,81.5,23.3,4.5,85.0,1.1
Denmark,2016,7.5,DNK,1.8,Denmark,63823.5,28.2,6.0,2.0,81.5,23.3,4.5,85.0,1.1
Denmark,2017,7.6,DNK,1.7,Denmark,65352.4,28.7,5.8,2.0,81.5,23.3,4.5,85.0,1.1
Denmark,2018,7.6,DNK,1.5,Denmark,66238.7,28.2,5.1,2.0,81.5,23.3,4.5,85.0,1.1
Denmark,2019,7.6,DNK,1.5,Denmark,67131.5,27.7,5.0,2.0,81.5,23.3,4.5,85.0,1.1
Denmark,2020,7.6,DNK,1.8,Denmark,65744.4,27.5,5.6,2.0,81.5,23.3,4.5,85.0,1.1
Denmark,2021,7.6,DNK,1.5,Denmark,69715.2,28.3,5.1,2.0,81.5,23.3,4.5,85.0,1.1
Estonia,2015,5.5,EST,0.1,Estonia,36356.4,32.7,6.4,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2016,5.6,EST,0.1,Estonia,37470.0,31.2,6.9,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2017,5.7,EST,0.1,Estonia,39533.5,30.4,5.8,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2018,5.9,EST,0.1,Estonia,40853.6,30.3,5.4,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2019,6.0,EST,0.1,Estonia,42219.0,30.8,4.5,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2020,6.2,EST,0.1,Estonia,40920.5,30.7,7.0,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2021,6.3,EST,0.1,Estonia,44251.5,31.8,6.2,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2022,6.5,EST,0.1,Estonia,43128.6,32.3,5.6,2.7,78.8,17.0,5.4,79.0,2.2
Finland,2015,7.4,FIN,1.5,Finland,52782.5,27.1,9.4,2.2,82.1,23.1,2.2,88.0,3.6
Finland,2016,7.5,FIN,1.4,Finland,53984.6,27.1,8.8,2.2,82.1,23.1,2.2,88.0,3.6
Finland,2017,7.6,FIN,1.3,Finland,55637.2,27.4,8.6,2.2,82.1,23.1,2.2,88.0,3.6
Finland,2018,7.8,FIN,1.2,Finland,56226.3,27.3,7.4,2.2,82.1,23.1,2.2,88.0,3.6
Finland,2019,7.8,FIN,1.2,Finland,56922.5,27.7,6.7,2.2,82.1,23.1,2.2,88.0,3.6
Finland,2020,7.8,FIN,1.2,Finland,55424.9,27.1,7.8,2.2,82.1,23.1,2.2,88.0,3.6
Finland,2021,7.8,FIN,1.2,Finland,56790.4,27.7,7.6,2.2,82.1,23.1,2.2,88.0,3.6
France,2015,6.5,FRA,3.6,France,50682.9,32.7,10.4,2.1,82.9,20.7,3.1,74.0,7.7
France,2016,6.4,FRA,2.9,France,50984.1,31.9,10.1,2.1,82.9,20.7,3.1,74.0,7.7
France,2017,6.5,FRA,2.9,France,51895.6,31.6,9.4,2.1,82.9,20.7,3.1,74.0,7.7
France,2018,6.6,FRA,2.8,France,52561.0,32.4,9.0,2.1,82.9,20.7,3.1,74.0,7.7
France,2019,6.7,FRA,2.8,France,53448.6,31.2,8.4,2.1,82.9,20.7,3.1,74.0,7.7
France,2020,6.7,FRA,2.9,France,49311.3,30.7,8.0,2.1,82.9,20.7,3.1,74.0,7.7
France,2021,6.7,FRA,2.8,France,52517.3,31.5,7.9,2.1,82.9,20.7,3.1,74.0,7.7
France,2022,6.7,FRA,2.8,France,53673.8,31.2,7.3,2.1,82.9,20.7,3.1,74.0,7.7
Germany,2015,7.0,DEU,1.2,Germany,59573.7,31.4,4.6,1.8,81.4,20.0,1.4,76.0,3.9
Germany,2016,7.0,DEU,1.2,Germany,60408.0,31.3,4.1,1.8,81.4,20.0,1.4,76.0,3.9
Germany,2017,7.0,DEU,1.2,Germany,61866.5,31.3,3.8,1.8,81.4,20.0,1.4,76.0,3.9
Germany,2018,7.0,DEU,1.2,Germany,62381.3,31.9,3.4,1.8,81.4,20.0,1.4,76.0,3.9
Germany,2019,7.1,DEU,1.2,Germany,62849.4,32.2,3.2,1.8,81.4,20.0,1.4,76.0,3.9
Germany,2020,7.2,DEU,1.2,Germany,60203.3,32.5,3.9,1.8,81.4,20.0,1.4,76.0,3.9
Germany,2021,7.0,DEU,1.2,Germany,62530.8,33.6,3.6,1.8,81.4,20.0,1.4,76.0,3.9
Greece,2015,5.0,GRC,0.5,Greece,31348.0,36.0,25.0,1.8,81.7,21.8,21.7,69.0,4.5
Greece,2016,5.2,GRC,0.5,Greece,31468.6,35.0,23.5,1.8,81.7,21.8,21.7,69.0,4.5
Greece,2017,5.4,GRC,0.5,Greece,31995.4,34.4,21.4,1.8,81.7,21.8,21.7,69.0,4.5
Greece,2018,5.3,GRC,0.5,Greece,32722.3,32.9,19.2,1.8,81.7,21.8,21.7,69.0,4.5
Greece,2019,5.5,GRC,0.6,Greece,33502.8,33.1,17.0,1.8,81.7,21.8,21.7,69.0,4.5
