country_name_whr,year,happiness_score,country_iso3,social_spending_pct_gdp,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct,civic_engagement_score,health_score,housing_score,job_security_score,safety_score,work_life_balance_score
Austria,2022,7.097,AUT,,Austria,65694.5513287254,30.9,4.992,1.3,82.0,20.8,2.3,86.0,5.3
Austria,2023,6.905,AUT,,Austria,64536.2981841434,31.2,5.264,1.3,82.0,20.8,2.3,86.0,5.3
Azerbaijan,2015,5.291,AZE,,Azerbaijan,20678.7539572375,,4.96,,,,,,
Azerbaijan,2016,5.234,AZE,,Azerbaijan,19822.4105943941,,5.0,,,,,,
Azerbaijan,2017,5.201,AZE,,Azerbaijan,19659.0048562768,,5.0,,,,,,
Azerbaijan,2018,5.208,AZE,,Azerbaijan,19781.8509058437,,4.9,,,,,,
Azerbaijan,2019,5.16480016708374,AZE,,Azerbaijan,20101.491875147,,5.0,,,,,,
Azerbaijan,2020,5.171,AZE,,Azerbaijan,19126.096851126,,7.24,,,,,,
Azerbaijan,2021,5.173,AZE,,Azerbaijan,20111.3756952109,,6.04,,,,,,
Azerbaijan,2023,4.893,AZE,,Azerbaijan,21310.7386915022,,5.64,,,,,,
Bahrain,2015,6.218,BHR,,Bahrain,54149.9131524721,,1.164,,,,,,
Bahrain,2016,6.087,BHR,,Bahrain,54107.0752236423,,1.19,,,,,,
Bahrain,2017,6.105,BHR,,Bahrain,53859.7749589601,,1.18,,,,,,
Bahrain,2018,6.199,BHR,,Bahrain,54893.0724411368,,1.188,,,,,,
Bahrain,2019,6.22730016708374,BHR,,Bahrain,56749.9628370612,,1.217,,,,,,
Bahrain,2020,6.647,BHR,,Bahrain,53814.2452592358,,1.765,,,,,,
Bahrain,2021,6.647,BHR,,Bahrain,54954.6757895532,,1.548,,,,,,
Bahrain,2022,6.173,BHR,,Bahrain,57572.997981018,,1.265,,,,,,
Bahrain,2023,5.959,BHR,,Bahrain,57819.9051831242,,1.049,,,,,,
Bangladesh,2015,4.643,BGD,,Bangladesh,5352.71133299566,,4.397,,,,,,
Bangladesh,2016,4.608,BGD,,Bangladesh,5682.53553494306,32.4,4.35,,,,,,
Bangladesh,2017,4.5,BGD,,Bangladesh,6005.70718781048,,4.372,,,,,,
Bangladesh,2018,4.456,BGD,,Bangladesh,6392.59334024091,,4.439,,,,,,
Bangladesh,2019,4.83279991149902,BGD,,Bangladesh,6838.32611608243,,4.504,,,,,,
Bangladesh,2020,5.025,BGD,,Bangladesh,7015.19792797056,,5.539,,,,,,
Bangladesh,2021,5.155,BGD,,Bangladesh,7441.06913961254,,5.457,,,,,,
Bangladesh,2022,4.282,BGD,,Bangladesh,7888.16389098304,30.9,4.593,,,,,,
Bangladesh,2023,3.886,BGD,,Bangladesh,8242.39798977242,,3.352,,,,,,
Belarus,2015,5.802,BLR,,Belarus,25513.2132958317,25.6,5.881,,,,,,
Belarus,2016,5.569,BLR,,Belarus,24846.8301529359,25.3,5.844,,,,,,
Belarus,2017,5.483,BLR,,Belarus,25503.9809845207,25.4,5.648,,,,,,
Belarus,2018,5.323,BLR,,Belarus,26363.4629778536,25.2,4.763,,,,,,
Belarus,2019,5.5398998260498,BLR,,Belarus,26798.8206398076,25.3,4.165,,,,,,
Belarus,2020,5.534,BLR,,Belarus,26731.4953869922,24.4,4.049,,,,,,
Belarus,2021,5.821,BLR,,Belarus,27611.1801135157,,3.9,,,,,,
Belgium,2015,6.929,BEL,1.899,Belgium,57509.0245728702,27.7,8.482,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2016,6.891,BEL,1.923,Belgium,57901.4976903148,27.6,7.83,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2017,6.927,BEL,1.887,Belgium,58529.3302957534,27.4,7.09,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2018,6.923,BEL,1.935,Belgium,59357.6896884394,27.2,5.941,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2019,6.86350011825562,BEL,1.81,Belgium,60479.9769955466,27.2,5.364,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2020,6.834,BEL,1.996,Belgium,57333.5424137922,26.0,5.545,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2021,6.805,BEL,1.932,Belgium,60669.2137746531,26.6,6.248,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2022,6.859,BEL,,Belgium,62561.7810453236,26.4,5.57,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2023,6.894,BEL,,Belgium,63095.4017281289,26.8,5.547,2.0,82.1,20.0,2.4,56.0,4.3
Belize,2015,5.956,BLZ,,Belize,12348.7944978311,,7.578,,,,,,
Belize,2016,5.956,BLZ,,Belize,12063.0600374093,,7.0,,,,,,
Belize,2017,5.956,BLZ,,Belize,11572.3007931461,,6.596,,,,,,
Benin,2015,3.484,BEN,,Benin,2952.00218338705,47.6,1.886,,,,,,
Benin,2016,3.657,BEN,,Benin,2962.66381572265,,1.834,,,,,,
Benin,2017,4.141,BEN,,Benin,3041.77929984989,,1.691,,,,,,
Benin,2018,4.883,BEN,,Benin,3155.4510650627,37.9,1.426,,,,,,
Benin,2019,5.21600008010864,BEN,,Benin,3281.10470051465,,1.214,,,,,,
Benin,2020,5.045,BEN,,Benin,3317.8597222557,,1.518,,,,,,
Benin,2021,4.623,BEN,,Benin,3464.2886286745,34.4,1.833,,,,,,
Benin,2022,4.374,BEN,,Benin,3588.32519938147,,1.685,,,,,,
Benin,2023,4.377,BEN,,Benin,3721.21254814808,,1.641,,,,,,
Bhutan,2015,5.196,BTN,,Bhutan,12400.2983237391,,2.45,,,,,,
Bhutan,2016,5.011,BTN,,Bhutan,13320.9759036882,,2.707,,,,,,
Bhutan,2017,5.082,BTN,,Bhutan,13482.3425280358,37.4,3.027,,,,,,
Bhutan,2018,5.082,BTN,,Bhutan,13854.8543977158,,3.35,,,,,,
Bolivia,2015,5.822,BOL,,Bolivia,11144.6415727207,46.7,3.111,,,,,,
Bolivia,2016,5.823,BOL,,Bolivia,11448.0218032246,45.2,3.498,,,,,,
Bolivia,2017,5.752,BOL,,Bolivia,11755.2556195885,44.6,3.655,,,,,,
Bolivia,2018,5.779,BOL,,Bolivia,11920.3135079645,42.6,3.519,,,,,,
Bolivia,2019,5.74749994277954,BOL,,Bolivia,11930.9159145918,41.6,3.682,,,,,,
Bolivia,2020,5.716,BOL,,Bolivia,10285.6590750222,43.6,7.903,,,,,,
Bolivia,2021,5.6,BOL,,Bolivia,11202.4409836707,40.9,5.089,,,,,,
Bolivia,2022,5.684,BOL,,Bolivia,11487.7148799194,41.2,3.552,,,,,,
Bolivia,2023,5.784,BOL,,Bolivia,11616.1575595159,42.1,3.024,,,,,,
Bosnia and Herzegovina,2015,5.163,BIH,,Bosnia and Herzegovina,14220.1489744552,32.9,27.695,,,,,,
Bosnia and Herzegovina,2016,5.182,BIH,,Bosnia and Herzegovina,14873.7027917131,,25.408,,,,,,
Bosnia and Herzegovina,2017,5.129,BIH,,Bosnia and Herzegovina,15554.7232481788,,20.527,,,,,,
Bosnia and Herzegovina,2018,5.386,BIH,,Bosnia and Herzegovina,16349.0675137661,,18.4,,,,,,
Bosnia and Herzegovina,2019,5.67409992218018,BIH,,Bosnia and Herzegovina,17029.3678184559,,15.692,,,,,,
Bosnia and Herzegovina,2020,5.813,BIH,,Bosnia and Herzegovina,16747.1048417525,,15.868,,,,,,
Bosnia and Herzegovina,2021,5.768,BIH,,Bosnia and Herzegovina,18286.7373324233,30.3,14.897,,,,,,
Bosnia and Herzegovina,2022,5.633,BIH,,Bosnia and Herzegovina,19298.1971056448,,12.657,,,,,,
Bosnia and Herzegovina,2023,5.877,BIH,,Bosnia and Herzegovina,19805.0002774731,,10.668,,,,,,
Botswana,2015,3.974,BWA,,Botswana,15994.9643042101,54.9,18.915,,,,,,
Botswana,2016,3.766,BWA,,Botswana,16905.588740873,,19.328,,,,,,
Botswana,2017,3.59,BWA,,Botswana,17352.8958451454,,19.671,,,,,,
Botswana,2018,3.488,BWA,,Botswana,17825.018569213,,19.665,,,,,,
Botswana,2019,3.47889995574951,BWA,,Botswana,18106.0105471124,,20.094,,,,,,
Botswana,2020,3.467,BWA,,Botswana,16289.3913582645,,21.017,,,,,,
Botswana,2021,3.471,BWA,,Botswana,17960.6254447437,,23.106,,,,,,
Botswana,2022,3.435,BWA,,Botswana,18647.3734588832,,23.615,,,,,,
Botswana,2023,3.383,BWA,,Botswana,18932.4802712334,,23.381,,,,,,
Brazil,2015,6.952,BRA,,Brazil,18357.0690615421,51.9,8.538,2.2,75.9,,,45.0,5.6
Brazil,2016,6.635,BRA,,Brazil,17620.9272434403,53.4,11.58,2.2,75.9,,,45.0,5.6
Brazil,2017,6.419,BRA,,Brazil,17724.4799577815,53.3,12.792,2.2,75.9,,,45.0,5.6
Brazil,2018,6.3,BRA,,Brazil,17917.7492122925,53.9,12.329,2.2,75.9,,,45.0,5.6
Brazil,2019,6.37559986114502,BRA,,Brazil,18018.62091495,53.5,11.936,2.2,75.9,,,45.0,5.6
Brazil,2020,6.33,BRA,,Brazil,17327.5157248143,48.8,13.697,2.2,75.9,,,45.0,5.6
Brazil,2021,6.293,BRA,,Brazil,18075.7060048757,52.9,13.158,2.2,75.9,,,45.0,5.6
Brazil,2022,6.125,BRA,,Brazil,18554.0461828519,51.9,9.231,2.2,75.9,,,45.0,5.6
Brazil,2023,6.272,BRA,,Brazil,19079.8122132253,51.5,7.947,2.2,75.9,,,45.0,5.6
Bulgaria,2015,4.217,BGR,,Bulgaria,24562.750842738,38.6,9.143,,,,,,
Bulgaria,2016,4.714,BGR,,Bulgaria,25636.8508634132,40.6,7.575,,,,,,
Bulgaria,2017,4.933,BGR,,Bulgaria,26691.8686963123,40.4,6.164,,,,,,
Bulgaria,2018,5.011,BGR,,Bulgaria,27691.0089237623,41.3,5.211,,,,,,
Bulgaria,2019,5.10150003433228,BGR,,Bulgaria,29150.0422926763,40.3,4.148,,,,,,
Bulgaria,2020,5.266,BGR,,Bulgaria,28521.3251326769,40.5,5.037,,,,,,
Bulgaria,2021,5.371,BGR,0.113,Bulgaria,30959.1118459807,39.0,5.166,,,,,,
Bulgaria,2022,5.466,BGR,0.107,Bulgaria,32433.7937497005,38.2,4.148,,,,,,
Bulgaria,2023,5.463,BGR,,Bulgaria,33073.8179631314,39.5,4.319,,,,,,
Burkina Faso,2015,3.739,BFA,,Burkina Faso,2101.70266192027,,4.472,,,,,,
Burkina Faso,2016,4.032,BFA,,Burkina Faso,2162.72578977814,,4.598,,,,,,
Burkina Faso,2017,4.424,BFA,,Burkina Faso,2232.28781490944,,4.662,,,,,,
Burkina Faso,2018,4.587,BFA,,Burkina Faso,2316.39432079045,43.0,4.695,,,,,,
Burkina Faso,2019,4.76870012283325,BFA,,Burkina Faso,2391.53626844484,,4.493,,,,,,
Burkina Faso,2020,4.834,BFA,,Burkina Faso,2380.93171826574,,4.59,,,,,,
Burkina Faso,2021,4.67,BFA,,Burkina Faso,2486.43093147762,37.4,4.511,,,,,,
Burkina Faso,2022,4.638,BFA,,Burkina Faso,2469.19956941259,,3.828,,,,,,
Burkina Faso,2023,4.548,BFA,,Burkina Faso,2486.20669812871,,3.601,,,,,,
Burundi,2015,2.905,BDI,,Burundi,995.319068450023,,1.449,,,,,,
Burundi,2016,2.905,BDI,,Burundi,1009.63596796379,,1.352,,,,,,
Burundi,2017,2.905,BDI,,Burundi,1023.97040626757,,1.25,,,,,,
Burundi,2018,3.775,BDI,,Burundi,1046.59511246023,,1.147,,,,,,
Burundi,2019,3.77530002593994,BDI,,Burundi,1057.95005999167,,1.043,,,,,,
Burundi,2020,3.775,BDI,,Burundi,1030.77026419371,37.5,1.03,,,,,,
Cambodia,2015,3.907,KHM,,Cambodia,4968.57276699143,,0.393,,,,,,
Cambodia,2016,4.168,KHM,,Cambodia,5283.72964943779,,0.716,,,,,,
Cambodia,2017,4.433,KHM,,Cambodia,5632.03125629342,,0.141,,,,,,
Cambodia,2018,4.7,KHM,,Cambodia,6050.59088262205,,0.129,,,,,,
Cambodia,2019,4.8484001159668,KHM,,Cambodia,6448.88455952805,,0.119,,,,,,
Cambodia,2020,4.83,KHM,,Cambodia,6128.78243783335,,0.172,,,,,,
Cambodia,2021,4.64,KHM,,Cambodia,6225.53265474741,,0.396,,,,,,
Cambodia,2022,4.393,KHM,,Cambodia,6458.3681488084,,0.245,,,,,,
Cambodia,2023,4.341,KHM,,Cambodia,6695.29194763723,,0.256,,,,,,
Cameroon,2015,4.513,CMR,,Cameroon,4698.66677843587,,3.518,,,,,,
Cameroon,2016,4.695,CMR,,Cameroon,4767.13186148953,,3.529,,,,,,
Cameroon,2017,4.975,CMR,,Cameroon,4797.97544185544,,3.573,,,,,,
Cameroon,2018,5.044,CMR,,Cameroon,4851.48003949961,,3.608,,,,,,
Cameroon,2019,5.08489990234375,CMR,,Cameroon,4882.35560028896,,3.632,,,,,,
Cameroon,2020,5.142,CMR,,Cameroon,4763.48194388066,,3.881,,,,,,
Cameroon,2021,5.048,CMR,,Cameroon,4793.55628200196,42.2,3.976,,,,,,
Cameroon,2022,4.973,CMR,,Cameroon,4843.65038202917,,3.646,,,,,,
Cameroon,2023,4.874,CMR,,Cameroon,4875.25120768005,,3.607,,,,,,
Canada,2015,7.404,CAN,5.237,Canada,55660.8675272614,33.7,6.945,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2016,7.316,CAN,5.284,Canada,55606.1549191947,32.7,7.038,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2017,7.328,CAN,6.007,Canada,56612.3285367448,33.3,6.426,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2018,7.278,CAN,5.95,Canada,57337.4909099991,32.5,5.837,2.9,82.1,22.9,3.8,78.0,3.3
